Department,JobRole,Age Band,Age,Business Unit,Attrition,BusinessTravel,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,Job Type,MaritalStatus,MonthlyIncome  ,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Sick Days,Balance Days
Research & Development,Laboratory Technician,35 - 44,35,Pune,No,Travel_Rarely,Other,3,Male,1,Very High,Part Time,Divorced,1951,1,No,Low,Bad,1,0,0,3,8
Research & Development,Laboratory Technician,25 - 34,27,Hyderabad,No,Travel_Rarely,Life Sciences,4,Female,1,High,Part Time,Divorced,2341,1,No,Low,Better,1,0,0,11,11
Research & Development,Laboratory Technician,25 - 34,26,Banglore,Yes,Travel_Rarely,Life Sciences,1,Male,1,Medium,Part Time,Single,2293,1,No,Excellent,Better,1,0,0,11,9
Sales,Sales Executive,25 - 34,27,Mumbai,No,Travel_Frequently,Life Sciences,4,Male,3,High,Part Time,Single,8726,1,No,Outstanding,Bad,9,8,1,7,12
Research & Development,Laboratory Technician,25 - 34,30,Banglore,No,Travel_Frequently,Medical,3,Female,2,Very High,Part Time,Single,4011,1,No,Low,Bad,12,8,3,12,17
Research & Development,Research Director,35 - 44,41,Banglore,Yes,Travel_Rarely,Technical Degree,2,Female,5,Medium,Part Time,Married,19545,1,No,Excellent,Bad,22,15,15,10,15
Sales,Sales Executive,25 - 34,34,Banglore,No,Non-Travel,Marketing,2,Male,2,Low,Part Time,Single,4568,0,No,Low,Good,9,5,8,1,10
Research & Development,Research Scientist,35 - 44,37,Pune,No,Travel_Rarely,Life Sciences,2,Male,1,Very High,Part Time,Married,3022,4,No,Low,Good,1,0,0,2,13
Sales,Sales Executive,45 - 54,46,Mumbai,No,Travel_Frequently,Marketing,1,Male,2,Low,Full Time,Single,5772,4,Yes,Good,Better,9,6,0,2,9
Research & Development,Laboratory Technician,35 - 44,35,Hyderabad,No,Travel_Rarely,Life Sciences,4,Male,1,High,Full Time,Married,2269,1,No,Outstanding,Best,1,0,0,3,12
Research & Development,Laboratory Technician,45 - 54,48,Hyderabad,Yes,Travel_Rarely,Life Sciences,1,Male,3,High,Part Time,Single,5381,9,Yes,Good,Good,1,0,0,8,14
Research & Development,Laboratory Technician,25 - 34,28,Hyderabad,Yes,Travel_Rarely,Technical Degree,3,Male,1,Medium,Part Time,Single,3441,1,Yes,Excellent,Better,2,2,2,9,11
Sales,Sales Executive,35 - 44,44,Pune,No,Travel_Rarely,Marketing,2,Female,2,Low,Part Time,Divorced,5454,5,Yes,Low,Better,4,3,1,10,11
Research & Development,Healthcare Representative,35 - 44,35,Banglore,No,Non-Travel,Medical,3,Male,3,High,Part Time,Married,9884,2,Yes,Good,Best,4,0,2,8,14
Sales,Sales Executive,25 - 34,26,Mumbai,No,Travel_Rarely,Marketing,3,Female,2,Medium,Part Time,Married,4157,7,Yes,Good,Good,2,2,0,12,16
Research & Development,Research Director,25 - 34,33,Hyderabad,No,Travel_Frequently,Life Sciences,1,Female,3,Medium,Full Time,Single,13458,1,Yes,Excellent,Best,15,14,8,12,13
Sales,Sales Executive,35 - 44,35,Banglore,No,Travel_Frequently,Life Sciences,2,Male,3,Very High,Full Time,Married,9069,1,No,Low,Good,9,8,1,6,11
Research & Development,Laboratory Technician,35 - 44,35,Hyderabad,No,Travel_Rarely,Medical,3,Female,1,High,Part Time,Married,4014,3,Yes,Low,Better,2,2,2,7,9
Research & Development,Laboratory Technician,25 - 34,31,Mumbai,No,Travel_Rarely,Life Sciences,4,Male,2,Medium,Part Time,Divorced,5915,3,No,Excellent,Best,7,7,1,8,17
Research & Development,Manufacturing Director,35 - 44,37,Banglore,No,Travel_Rarely,Life Sciences,1,Male,2,Medium,Full Time,Divorced,5993,1,No,Outstanding,Good,7,5,0,10,13
Research & Development,Manufacturing Director,25 - 34,32,Pune,No,Travel_Rarely,Medical,1,Male,2,Very High,Full Time,Married,6162,1,Yes,Excellent,Best,9,8,7,8,18
Research & Development,Laboratory Technician,35 - 44,38,Hyderabad,No,Travel_Frequently,Life Sciences,4,Female,2,Low,Full Time,Single,2406,1,No,Good,Best,10,3,9,7,11
Research & Development,Research Director,45 - 54,50,Banglore,No,Travel_Rarely,Medical,2,Female,5,Very High,Part Time,Divorced,18740,5,Yes,Outstanding,Better,27,3,13,9,20
Sales,Sales Executive,Over 55,59,Mumbai,No,Travel_Rarely,Life Sciences,1,Female,3,High,Full Time,Single,7637,7,No,Low,Better,21,16,7,1,7
Research & Development,Healthcare Representative,35 - 44,36,Banglore,No,Travel_Rarely,Technical Degree,3,Female,3,Low,Part Time,Divorced,10096,1,No,Good,Bad,17,14,12,3,8
Research & Development,Manager,Over 55,55,Hyderabad,No,Travel_Rarely,Medical,4,Female,4,Very High,Part Time,Divorced,14756,2,Yes,Outstanding,Bad,5,0,0,10,11
Research & Development,Manufacturing Director,35 - 44,36,Banglore,No,Travel_Frequently,Life Sciences,2,Male,2,High,Part Time,Single,6499,1,No,Good,Better,6,5,0,9,5
Research & Development,Research Scientist,45 - 54,45,Banglore,No,Travel_Rarely,Life Sciences,2,Male,3,High,Full Time,Divorced,9724,2,No,Good,Bad,1,0,0,9,18
Research & Development,Research Scientist,35 - 44,35,Mumbai,No,Travel_Frequently,Medical,2,Male,1,Medium,Part Time,Married,2194,4,No,Low,Best,3,2,1,11,15
Research & Development,Research Scientist,35 - 44,36,Mumbai,Yes,Travel_Rarely,Medical,4,Male,1,Very High,Part Time,Married,3388,0,Yes,Excellent,Better,1,0,0,12,5
Sales,Sales Executive,Over 55,59,Pune,No,Travel_Frequently,Life Sciences,1,Female,2,Low,Full Time,Single,5473,7,No,Excellent,Good,4,3,1,3,8
Research & Development,Research Scientist,25 - 34,29,Banglore,No,Travel_Rarely,Life Sciences,3,Male,1,Low,Full Time,Married,2703,0,No,Excellent,Good,5,4,0,11,10
Research & Development,Research Scientist,25 - 34,31,Banglore,No,Travel_Rarely,Medical,3,Male,1,Very High,Part Time,Single,2501,1,No,Outstanding,Better,1,1,1,1,7
Research & Development,Research Scientist,25 - 34,32,Mumbai,No,Travel_Rarely,Life Sciences,2,Male,2,Low,Full Time,Married,6220,1,No,Excellent,Better,10,4,0,2,15
Research & Development,Laboratory Technician,35 - 44,36,Banglore,No,Travel_Rarely,Life Sciences,2,Female,1,High,Full Time,Married,3038,3,No,Low,Bad,1,0,0,5,7
Research & Development,Manufacturing Director,25 - 34,31,Banglore,No,Travel_Rarely,Life Sciences,3,Female,2,High,Full Time,Single,4424,1,No,Outstanding,Good,11,7,1,10,16
Sales,Sales Executive,35 - 44,35,Pune,No,Travel_Rarely,Marketing,3,Male,2,Low,Part Time,Single,4312,0,No,Good,Better,15,13,2,9,19
Research & Development,Research Director,45 - 54,45,Pune,No,Travel_Rarely,Other,4,Male,3,High,Part Time,Married,13245,4,Yes,Good,Better,0,0,0,11,13
Research & Development,Research Director,35 - 44,37,Banglore,No,Travel_Rarely,Medical,1,Male,3,Low,Full Time,Single,13664,4,No,Low,Best,5,2,0,9,11
Human Resources,Human Resources,45 - 54,46,Mumbai,No,Travel_Rarely,Medical,2,Male,2,High,Part Time,Divorced,5021,8,Yes,Good,Good,4,2,0,10,5
Research & Development,Laboratory Technician,25 - 34,30,Hyderabad,No,Travel_Rarely,Life Sciences,4,Male,2,Very High,Full Time,Married,5126,1,Yes,Good,Better,10,8,3,11,5
Research & Development,Research Scientist,35 - 44,35,Mumbai,No,Travel_Rarely,Medical,2,Male,1,Medium,Part Time,Single,2859,1,No,Good,Good,6,4,0,6,12
Sales,Sales Executive,Over 55,55,Mumbai,No,Travel_Rarely,Life Sciences,1,Male,3,Medium,Full Time,Married,10239,3,No,Good,Bad,1,0,1,8,14
Research & Development,Research Scientist,35 - 44,38,Hyderabad,No,Non-Travel,Medical,2,Female,2,Low,Part Time,Divorced,5329,7,Yes,Good,Good,13,11,1,3,11
Research & Development,Manufacturing Director,25 - 34,34,Banglore,No,Travel_Rarely,Medical,1,Male,2,Low,Full Time,Married,4325,1,No,Excellent,Good,5,2,1,3,12
Research & Development,Manufacturing Director,Over 55,56,Pune,No,Travel_Rarely,Life Sciences,4,Male,3,Low,Part Time,Single,7260,4,No,Good,Good,6,4,0,11,20
Sales,Sales Representative,Under 25,23,Pune,No,Travel_Rarely,Technical Degree,3,Male,1,Low,Full Time,Divorced,2322,3,No,Low,Bad,0,0,0,7,16
Research & Development,Laboratory Technician,45 - 54,51,Hyderabad,No,Travel_Rarely,Life Sciences,4,Male,1,High,Part Time,Married,2075,3,No,Excellent,Better,4,2,0,8,12
Research & Development,Healthcare Representative,25 - 34,30,Pune,No,Travel_Rarely,Life Sciences,3,Male,2,High,Part Time,Married,4152,1,No,Excellent,Better,11,10,10,10,18
Sales,Sales Executive,45 - 54,46,Hyderabad,Yes,Travel_Rarely,Medical,3,Male,3,Medium,Part Time,Single,9619,1,No,Excellent,Best,9,8,4,1,16
Research & Development,Healthcare Representative,35 - 44,40,Pune,No,Travel_Frequently,Life Sciences,3,Male,4,High,Part Time,Married,13503,1,No,Low,Better,22,3,11,9,19
Sales,Sales Executive,45 - 54,51,Hyderabad,No,Travel_Rarely,Marketing,3,Male,2,Low,Full Time,Single,5441,0,Yes,Excellent,Good,10,7,1,7,7
Sales,Sales Executive,25 - 34,30,Hyderabad,No,Travel_Rarely,Medical,3,Female,2,Low,Part Time,Divorced,5209,1,Yes,Good,Bad,11,8,2,5,5
Research & Development,Healthcare Representative,45 - 54,46,Hyderabad,No,Travel_Frequently,Medical,3,Male,3,High,Full Time,Married,10673,2,Yes,Outstanding,Better,10,9,9,8,18
Sales,Sales Executive,25 - 34,32,Banglore,No,Travel_Rarely,Medical,2,Male,2,Medium,Full Time,Single,5010,1,No,Excellent,Best,11,8,5,10,8
Research & Development,Research Director,45 - 54,54,Pune,No,Travel_Rarely,Technical Degree,1,Female,3,Very High,Full Time,Married,13549,9,No,Good,Bad,4,3,0,1,12
Sales,Sales Executive,Under 25,24,Mumbai,No,Travel_Rarely,Other,1,Female,2,High,Full Time,Married,4999,0,No,Good,Bad,3,2,0,9,15
Sales,Sales Executive,25 - 34,28,Hyderabad,No,Non-Travel,Medical,2,Male,2,High,Full Time,Married,4221,1,No,Good,Bad,5,4,0,3,12
Sales,Sales Executive,Over 55,58,Hyderabad,No,Travel_Rarely,Medical,4,Male,4,Low,Part Time,Single,13872,0,No,Good,Best,37,10,1,6,19
Research & Development,Laboratory Technician,35 - 44,44,Banglore,No,Non-Travel,Medical,2,Male,2,Medium,Part Time,Married,2042,4,No,Good,Best,3,2,1,7,13
Human Resources,Human Resources,35 - 44,37,Banglore,Yes,Travel_Rarely,Human Resources,3,Male,1,High,Part Time,Divorced,2073,4,Yes,Excellent,Bad,3,2,0,8,11
Research & Development,Research Scientist,25 - 34,32,Pune,No,Travel_Rarely,Life Sciences,4,Male,1,Medium,Part Time,Single,2956,1,No,Excellent,Best,1,0,0,12,8
Research & Development,Laboratory Technician,Under 25,20,Mumbai,Yes,Travel_Frequently,Life Sciences,4,Female,1,High,Part Time,Single,2926,1,Yes,Excellent,Bad,1,0,1,1,14
Research & Development,Research Scientist,25 - 34,34,Mumbai,No,Travel_Rarely,Other,1,Female,2,Medium,Full Time,Single,4809,1,No,Low,Better,16,13,2,5,10
Research & Development,Healthcare Representative,35 - 44,37,Banglore,No,Non-Travel,Life Sciences,3,Male,2,Low,Full Time,Divorced,5163,5,No,Excellent,Better,1,0,0,12,14
Human Resources,Manager,Over 55,59,Banglore,No,Non-Travel,Human Resources,3,Female,5,High,Part Time,Married,18844,9,No,Good,Better,3,2,2,9,20
Research & Development,Research Director,45 - 54,50,Mumbai,No,Travel_Frequently,Life Sciences,1,Female,5,Medium,Part Time,Married,18172,3,Yes,Outstanding,Best,8,3,0,5,9
Sales,Sales Executive,25 - 34,25,Hyderabad,Yes,Travel_Rarely,Marketing,3,Male,2,Low,Full Time,Single,5744,1,Yes,Outstanding,Bad,6,4,0,8,13
Research & Development,Research Scientist,25 - 34,25,Banglore,No,Travel_Rarely,Medical,4,Male,1,Medium,Part Time,Married,2889,1,No,Good,Best,2,2,2,1,19
Research & Development,Laboratory Technician,Under 25,22,Pune,No,Travel_Rarely,Medical,2,Female,1,High,Part Time,Single,2871,1,No,Low,Bad,0,0,0,3,7
Research & Development,Healthcare Representative,45 - 54,51,Pune,No,Travel_Frequently,Medical,1,Female,3,Medium,Full Time,Single,7484,3,No,Good,Bad,13,12,12,11,7
Research & Development,Laboratory Technician,25 - 34,34,Hyderabad,Yes,Travel_Frequently,Life Sciences,1,Male,2,High,Full Time,Single,6074,1,Yes,Good,Best,9,7,0,7,11
Human Resources,Manager,45 - 54,54,Hyderabad,No,Non-Travel,Human Resources,4,Female,4,Very High,Full Time,Single,17328,2,Yes,Low,Bad,5,3,4,10,7
Research & Development,Laboratory Technician,Under 25,24,Pune,No,Travel_Rarely,Life Sciences,2,Male,1,Low,Part Time,Married,2774,0,No,Low,Bad,5,3,1,4,8
Research & Development,Research Scientist,25 - 34,34,Banglore,No,Travel_Rarely,Life Sciences,3,Female,2,Medium,Full Time,Divorced,4505,6,No,Good,Good,1,0,0,8,18
Sales,Sales Executive,35 - 44,37,Mumbai,No,Travel_Rarely,Life Sciences,3,Male,3,Very High,Full Time,Single,7428,2,No,Outstanding,Good,5,3,1,4,14
Research & Development,Manager,25 - 34,34,Banglore,No,Travel_Rarely,Medical,3,Female,3,Medium,Full Time,Single,11631,2,No,Excellent,Best,11,10,5,11,20
Sales,Sales Executive,35 - 44,36,Pune,No,Travel_Frequently,Technical Degree,2,Female,3,Medium,Full Time,Married,9738,0,No,Good,Best,9,7,2,11,14
Research & Development,Laboratory Technician,35 - 44,36,Hyderabad,No,Travel_Rarely,Life Sciences,1,Female,1,Low,Full Time,Divorced,2835,5,No,Excellent,Best,1,0,0,9,16
Sales,Manager,35 - 44,43,Pune,No,Travel_Frequently,Life Sciences,3,Male,4,Very High,Full Time,Married,16959,1,Yes,Excellent,Best,25,12,4,1,7
Research & Development,Research Scientist,25 - 34,30,Hyderabad,No,Travel_Frequently,Life Sciences,1,Male,1,Very High,Part Time,Divorced,2613,1,No,Outstanding,Better,10,7,0,6,8
Sales,Sales Executive,25 - 34,33,Banglore,No,Non-Travel,Marketing,3,Male,2,Very High,Full Time,Married,6146,0,No,Excellent,Best,7,7,0,2,13
Research & Development,Research Scientist,Over 55,56,Hyderabad,Yes,Travel_Rarely,Life Sciences,2,Female,1,Very High,Full Time,Married,4963,9,Yes,Outstanding,Better,5,4,4,2,9
Research & Development,Research Director,45 - 54,51,Banglore,No,Travel_Rarely,Life Sciences,1,Male,5,High,Part Time,Single,19537,7,No,Good,Good,20,18,15,11,13
Sales,Sales Executive,25 - 34,31,Pune,Yes,Travel_Rarely,Life Sciences,2,Male,2,Medium,Part Time,Married,6172,4,Yes,Low,Bad,7,7,7,7,20
Research & Development,Research Scientist,25 - 34,26,Pune,No,Travel_Rarely,Other,3,Female,1,Very High,Full Time,Married,2368,1,No,Low,Good,5,4,4,7,5
Research & Development,Healthcare Representative,Over 55,58,Mumbai,Yes,Travel_Rarely,Medical,4,Female,3,Very High,Full Time,Married,10312,1,No,Excellent,Better,40,10,15,11,20
Sales,Sales Representative,Under 25,19,Mumbai,Yes,Travel_Rarely,Marketing,4,Male,1,High,Full Time,Single,1675,1,Yes,Low,Better,0,0,0,3,19
Research & Development,Laboratory Technician,Under 25,22,Pune,No,Travel_Rarely,Technical Degree,3,Male,1,Low,Full Time,Married,2523,0,No,Excellent,Good,2,1,2,5,9
Research & Development,Manufacturing Director,45 - 54,49,Pune,No,Travel_Rarely,Medical,3,Female,2,Medium,Full Time,Married,6567,1,No,Good,Bad,15,11,5,3,8
Research & Development,Research Scientist,35 - 44,43,Pune,No,Travel_Frequently,Medical,2,Female,1,High,Full Time,Single,4739,4,No,Good,Good,3,2,1,9,13
Sales,Sales Executive,45 - 54,50,Mumbai,No,Travel_Frequently,Marketing,3,Female,3,Low,Part Time,Single,9208,4,No,Low,Best,2,2,2,1,19
Sales,Sales Executive,25 - 34,31,Pune,Yes,Travel_Rarely,Life Sciences,2,Female,2,Medium,Part Time,Married,4559,3,Yes,Good,Best,2,2,2,7,20
Sales,Sales Executive,35 - 44,41,Pune,No,Travel_Rarely,Life Sciences,3,Male,3,Medium,Full Time,Divorced,8189,3,Yes,Excellent,Better,9,7,0,4,20
Human Resources,Human Resources,25 - 34,26,Pune,No,Travel_Rarely,Life Sciences,3,Female,1,High,Part Time,Married,2942,1,No,Excellent,Good,8,7,5,4,6
Research & Development,Manufacturing Director,35 - 44,36,Hyderabad,No,Travel_Rarely,Medical,2,Male,2,Very High,Part Time,Divorced,4941,6,No,Outstanding,Good,3,2,0,9,6
Research & Development,Manufacturing Director,45 - 54,51,Hyderabad,Yes,Travel_Frequently,Life Sciences,1,Male,3,Low,Full Time,Single,10650,2,No,Low,Bad,4,2,0,6,17
Sales,Sales Executive,35 - 44,39,Pune,No,Travel_Rarely,Life Sciences,4,Female,2,Very High,Full Time,Married,5902,4,No,Excellent,Best,15,11,5,7,9
Sales,Sales Executive,25 - 34,25,Hyderabad,No,Travel_Rarely,Life Sciences,1,Male,2,High,Part Time,Married,8639,2,No,Low,Best,2,2,2,6,9
Human Resources,Human Resources,25 - 34,30,Hyderabad,No,Travel_Rarely,Human Resources,3,Male,2,Low,Full Time,Married,6347,0,Yes,Outstanding,Good,11,9,4,9,7
Research & Development,Laboratory Technician,25 - 34,32,Mumbai,Yes,Travel_Rarely,Medical,1,Female,1,Medium,Part Time,Single,4200,7,No,Outstanding,Best,5,4,0,2,7
Research & Development,Research Scientist,45 - 54,45,Banglore,No,Travel_Rarely,Medical,3,Male,1,Very High,Full Time,Single,3452,5,No,Good,Good,6,5,0,5,9
Research & Development,Research Scientist,35 - 44,38,Pune,No,Travel_Rarely,Technical Degree,4,Female,2,Low,Part Time,Single,4317,3,Yes,Outstanding,Best,3,2,2,11,10
Research & Development,Research Scientist,25 - 34,30,Banglore,No,Travel_Rarely,Life Sciences,1,Female,1,Very High,Part Time,Single,2632,1,No,Good,Bad,5,4,0,10,6
Sales,Sales Executive,25 - 34,32,Banglore,No,Travel_Frequently,Medical,4,Male,2,High,Part Time,Divorced,4668,0,No,Low,Best,8,7,0,8,9
Research & Development,Research Scientist,25 - 34,30,Banglore,No,Travel_Rarely,Technical Degree,4,Female,1,Low,Full Time,Divorced,3204,5,No,Excellent,Good,3,2,2,8,6
Research & Development,Laboratory Technician,25 - 34,30,Hyderabad,No,Travel_Rarely,Medical,2,Male,1,High,Full Time,Single,2720,0,No,Low,Better,5,3,1,3,12
Research & Development,Manager,35 - 44,41,Banglore,No,Travel_Frequently,Life Sciences,4,Male,4,Low,Part Time,Divorced,17181,4,No,Low,Better,7,6,7,7,17
Research & Development,Laboratory Technician,35 - 44,41,Banglore,No,Travel_Rarely,Life Sciences,3,Male,1,High,Full Time,Married,2238,2,No,Outstanding,Bad,5,0,1,5,7
Research & Development,Laboratory Technician,Under 25,19,Banglore,No,Travel_Rarely,Medical,2,Female,1,Medium,Part Time,Single,1483,1,No,Outstanding,Bad,1,0,0,11,6
Research & Development,Research Scientist,35 - 44,40,Pune,No,Travel_Frequently,Medical,2,Female,2,Low,Part Time,Divorced,5605,1,No,Excellent,Better,20,7,2,5,8
Sales,Sales Executive,35 - 44,35,Banglore,No,Travel_Rarely,Marketing,3,Male,3,Low,Part Time,Married,7295,1,No,Low,Bad,10,8,0,12,5
Sales,Sales Representative,45 - 54,53,Pune,No,Travel_Rarely,Marketing,2,Male,2,Low,Part Time,Married,2306,2,Yes,Good,Better,7,7,4,10,6
Research & Development,Laboratory Technician,45 - 54,45,Hyderabad,No,Travel_Rarely,Life Sciences,2,Male,2,Very High,Part Time,Divorced,2348,8,No,Outstanding,Best,17,9,0,11,9
Sales,Sales Executive,25 - 34,32,Pune,No,Travel_Frequently,Marketing,2,Female,3,Low,Part Time,Single,8998,1,No,Excellent,Good,9,8,3,2,13
Research & Development,Manufacturing Director,25 - 34,29,Banglore,No,Non-Travel,Technical Degree,4,Male,2,Very High,Full Time,Married,4319,1,No,Low,Bad,10,7,0,1,5
Research & Development,Manufacturing Director,45 - 54,51,Hyderabad,No,Travel_Rarely,Medical,2,Male,2,Very High,Full Time,Married,6132,2,No,Good,Better,1,0,0,5,11
